2025-07-10 22:27:58,162 [INFO] fetch_kline.py:81 筛选得到 2078 只股票
2025-07-10 22:27:58,163 [INFO] fetch_kline.py:335 开始抓取 2078 支股票 | 数据源:akshare | 频率:day | 日期:20190101 → 20250710
2025-07-10 22:28:49,374 [INFO] fetch_kline.py:81 筛选得到 2078 只股票
2025-07-10 22:28:49,376 [INFO] fetch_kline.py:335 开始抓取 2078 支股票 | 数据源:akshare | 频率:day | 日期:20250505 → 20250710
2025-07-10 22:30:38,269 [WARNING] fetch_kline.py:162 AKShare 拉取 002274 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:39,793 [WARNING] fetch_kline.py:162 AKShare 拉取 002275 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:41,200 [WARNING] fetch_kline.py:162 AKShare 拉取 002275 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:41,746 [WARNING] fetch_kline.py:162 AKShare 拉取 002274 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:42,702 [WARNING] fetch_kline.py:162 AKShare 拉取 002276 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:44,364 [WARNING] fetch_kline.py:162 AKShare 拉取 002276 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:44,997 [WARNING] fetch_kline.py:162 AKShare 拉取 002277 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:45,297 [WARNING] fetch_kline.py:162 AKShare 拉取 002275 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:47,124 [WARNING] fetch_kline.py:162 AKShare 拉取 002277 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:48,419 [WARNING] fetch_kline.py:162 AKShare 拉取 002276 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:49,429 [WARNING] fetch_kline.py:162 AKShare 拉取 002277 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:49,920 [WARNING] fetch_kline.py:162 AKShare 拉取 002279 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:52,360 [WARNING] fetch_kline.py:162 AKShare 拉取 002281 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:52,777 [WARNING] fetch_kline.py:162 AKShare 拉取 002279 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:53,983 [WARNING] fetch_kline.py:162 AKShare 拉取 002281 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:54,715 [WARNING] fetch_kline.py:162 AKShare 拉取 002283 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:55,965 [WARNING] fetch_kline.py:162 AKShare 拉取 002279 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:56,139 [WARNING] fetch_kline.py:162 AKShare 拉取 002283 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:56,234 [WARNING] fetch_kline.py:162 AKShare 拉取 002281 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:58,400 [WARNING] fetch_kline.py:162 AKShare 拉取 002283 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:30:59,954 [WARNING] fetch_kline.py:162 AKShare 拉取 002284 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:00,978 [WARNING] fetch_kline.py:162 AKShare 拉取 002285 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:02,087 [WARNING] fetch_kline.py:162 AKShare 拉取 002284 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:02,203 [WARNING] fetch_kline.py:162 AKShare 拉取 002285 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:02,756 [WARNING] fetch_kline.py:162 AKShare 拉取 002287 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:04,286 [WARNING] fetch_kline.py:162 AKShare 拉取 002287 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:04,688 [WARNING] fetch_kline.py:162 AKShare 拉取 002285 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:06,542 [WARNING] fetch_kline.py:162 AKShare 拉取 002284 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:07,942 [WARNING] fetch_kline.py:162 AKShare 拉取 002287 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:08,522 [WARNING] fetch_kline.py:162 AKShare 拉取 002289 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:10,069 [WARNING] fetch_kline.py:162 AKShare 拉取 002289 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:11,023 [WARNING] fetch_kline.py:162 AKShare 拉取 002290 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:12,531 [WARNING] fetch_kline.py:162 AKShare 拉取 002289 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:12,626 [WARNING] fetch_kline.py:162 AKShare 拉取 002290 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:13,956 [WARNING] fetch_kline.py:162 AKShare 拉取 002291 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:15,212 [WARNING] fetch_kline.py:162 AKShare 拉取 002291 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:15,221 [WARNING] fetch_kline.py:162 AKShare 拉取 002290 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:16,272 [WARNING] fetch_kline.py:162 AKShare 拉取 002292 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:17,969 [WARNING] fetch_kline.py:162 AKShare 拉取 002292 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:18,653 [WARNING] fetch_kline.py:162 AKShare 拉取 002293 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:19,792 [WARNING] fetch_kline.py:162 AKShare 拉取 002291 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:20,295 [WARNING] fetch_kline.py:162 AKShare 拉取 002293 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:22,037 [WARNING] fetch_kline.py:162 AKShare 拉取 002292 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:22,748 [WARNING] fetch_kline.py:162 AKShare 拉取 002293 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:23,956 [WARNING] fetch_kline.py:162 AKShare 拉取 002294 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:26,086 [WARNING] fetch_kline.py:162 AKShare 拉取 002294 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:27,089 [WARNING] fetch_kline.py:162 AKShare 拉取 002298 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:28,035 [WARNING] fetch_kline.py:162 AKShare 拉取 002299 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:28,493 [WARNING] fetch_kline.py:162 AKShare 拉取 002298 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:28,968 [WARNING] fetch_kline.py:162 AKShare 拉取 002294 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:29,988 [WARNING] fetch_kline.py:162 AKShare 拉取 002299 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:31,277 [WARNING] fetch_kline.py:162 AKShare 拉取 002298 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:33,485 [WARNING] fetch_kline.py:162 AKShare 拉取 002299 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:34,651 [WARNING] fetch_kline.py:162 AKShare 拉取 002301 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:34,929 [WARNING] fetch_kline.py:162 AKShare 拉取 002302 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:36,066 [WARNING] fetch_kline.py:162 AKShare 拉取 002301 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:36,322 [WARNING] fetch_kline.py:162 AKShare 拉取 002302 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:36,694 [WARNING] fetch_kline.py:162 AKShare 拉取 002303 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:38,389 [WARNING] fetch_kline.py:162 AKShare 拉取 002303 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
